Stock ,Day,Month,Year,Open,High,Low,Close
AMZN,3,January,2012,175.889999,179.479996,175.550003,179.029999
AMZN,4,January,2012,179.210007,180.5,176.070007,177.509995
AMZN,5,January,2012,175.940002,178.25,174.050003,177.610001
AMZN,6,January,2012,178.070007,184.649994,177.5,182.610001
AMZN,9,January,2012,182.759995,184.369995,177,178.559998
AMZN,10,January,2012,181.100006,182.399994,177.100006,179.339996
AMZN,11,January,2012,179.639999,180.770004,178.190002,178.899994
AMZN,12,January,2012,179.419998,179.490005,175.75,175.929993
AMZN,13,January,2012,175.809998,178.800003,173.5,178.419998
AMZN,17,January,2012,180.149994,183.300003,178.509995,181.660004
AMZN,18,January,2012,181.940002,190.25,181.119995,189.440002
AMZN,19,January,2012,190.880005,195.940002,190.360001,194.449997
AMZN,20,January,2012,190.710007,192.899994,189.039993,190.929993
AMZN,23,January,2012,190.789993,191.729996,185.229996,186.089996
AMZN,24,January,2012,185,188.410004,183.820007,187
AMZN,25,January,2012,186.990005,188.169998,184.610001,187.800003
AMZN,26,January,2012,189.300003,194.850006,188.729996,193.320007
AMZN,27,January,2012,193.089996,196.5,192.330002,195.369995
AMZN,30,January,2012,193.679993,195,190.130005,192.149994
AMZN,31,January,2012,194,195.630005,189.699997,194.440002
AMZN,1,February,2012,173.809998,179.949997,172,179.460007
AMZN,2,February,2012,179.649994,181.940002,176.800003,181.720001
AMZN,3,February,2012,182.830002,187.899994,181.889999,187.679993
AMZN,6,February,2012,186.279999,186.559998,182.919998,183.139999
AMZN,7,February,2012,182.649994,184.940002,182.059998,184.190002
AMZN,8,February,2012,184.949997,186.490005,182.910004,185.479996
AMZN,9,February,2012,184.5,185.690002,181.759995,184.979996
AMZN,10,February,2012,183.419998,187.630005,182.520004,185.539993
AMZN,13,February,2012,187.169998,192.5,185.679993,191.589996
AMZN,14,February,2012,191.080002,193.570007,186.100006,191.300003
AMZN,15,February,2012,191.289993,191.539993,183.259995,184.470001
AMZN,16,February,2012,177.789993,181.679993,175.139999,179.929993
AMZN,17,February,2012,180.089996,183.410004,179.360001,182.5
AMZN,21,February,2012,NaN,NaN,NaN,NaN
AMZN,22,February,2012,181.949997,182.990005,180.289993,180.580002
AMZN,23,February,2012,179.639999,180.75,176.960007,178.889999
AMZN,24,February,2012,179.699997,180.740005,178.369995,179.130005
AMZN,27,February,2012,177.539993,179.190002,176.5,178.529999
AMZN,28,February,2012,178.899994,184.289993,177.949997,183.800003
AMZN,29,February,2012,183.889999,184,179.009995,179.690002
AMZN,1,March,2012,179.889999,180.490005,176.580002,180.039993
