Stock,Stock,Stock,Stock,Stock,Stock,Stock,Stock
AAPL,2012,1,3,58.485714,58.92857,58.42857,58.747143
AAPL,2012,1,4,58.57143,59.240002,58.468571,59.062859
AAPL,2012,1,5,59.278572,59.792858,58.952858,59.718571
AAPL,2012,1,6,59.967144,60.392857,59.888573,60.342857
AAPL,2012,1,9,60.785713,61.107143,60.192856,60.247143
AAPL,2012,1,10,60.844284,60.857143,60.214287,60.462856
AAPL,2012,1,11,60.382858,60.407143,59.901428,60.364285
AAPL,2012,1,12,60.325714,60.414288,59.82143,60.19857
AAPL,2012,1,13,59.957142,60.064285,59.808571,59.972858
AAPL,2012,1,17,60.599998,60.855713,60.422855,60.671429
AAPL,2012,1,18,60.994286,61.352856,60.900002,61.30143
AAPL,2012,1,19,61.450001,61.624287,60.93,61.107143
AAPL,2012,1,20,61.07,61.07143,59.964287,60.042858
AAPL,2012,1,23,60.381428,61.207142,60.328571,61.058571
AAPL,2012,1,24,60.728573,60.728573,59.935715,60.058571
AAPL,2012,1,25,64.919998,64.921425,63.389999,NaN
AAPL,2012,1,26,64.05143,64.112854,63.305714,63.51857
AAPL,2012,1,27,63.477142,64.068573,63.395714,63.897144
AAPL,2012,1,30,63.672855,64.842857,63.627144,64.715714
AAPL,2012,1,31,65.084282,65.46286,64.724289,65.211426
AAPL,2012,2,1,65.487144,65.57,65.078575,65.169998
AAPL,2012,2,2,65.128571,65.309998,64.854286,NaN
AAPL,2012,2,3,65.328575,65.714287,65.080002,65.668571
AAPL,2012,2,6,65.482857,66.425713,65.457146,66.281425
AAPL,2012,2,7,66.464287,67.10714,66.368568,66.975716
AAPL,2012,2,8,67.214287,68.112854,67.099998,68.097145
AAPL,2012,2,9,68.68,70.964287,68.651428,70.452858
AAPL,2012,2,10,70.137146,71.08857,69.792854,70.488571
AAPL,2012,2,13,71.361427,71.975716,71.012856,71.800003
AAPL,2012,2,14,72.094284,72.794289,71.714287,72.779999
AAPL,2012,2,15,73.465714,75.184288,70.984283,71.095711
AAPL,2012,2,16,70.214287,72.127144,69.51857,71.744286
AAPL,2012,2,17,71.872856,72.538574,71.471428,NaN
AAPL,2012,2,21,72.41143,73.550003,72.017143,73.550003
AAPL,2012,2,22,73.297142,73.641426,72.724289,73.291428
AAPL,2012,2,23,73.582855,73.975716,72.785713,73.769997
AAPL,2012,2,24,74.238571,74.699997,74.091431,74.629997
AAPL,2012,2,27,74.472855,75.5,73.754288,75.108574
AAPL,2012,2,28,75.422859,76.487144,75.121429,76.487144
AAPL,2012,2,29,77.365715,78.230003,76.528572,77.491432
AAPL,2012,3,1,78.309998,78.315712,76.96714,77.781425
AAPL,2012,3,2,77.748573,78.114288,77.502853,77.882858
AAPL,2012,3,5,77.917145,78.211426,75.14286,76.165718
AAPL,2012,3,6,74.808571,76.241432,73.745712,75.751427
AAPL,2012,3,7,76.685715,76.825714,74.757141,75.812859
AAPL,2012,3,8,76.384285,77.57,76.017143,77.427139
AAPL,2012,3,9,77.744286,78.248573,77.587143,77.881432
AAPL,2012,3,12,78.425713,78.85714,78.14286,78.85714
AAPL,2012,3,13,79.648575,81.168571,79.39286,81.157143
AAPL,2012,3,14,82.578575,84.959999,82.199997,84.225716
AAPL,2012,3,15,NaN,NaN,NaN,NaN
AAPL,2012,3,16,83.531425,84.171425,82.571426,83.652855
AAPL,2012,3,19,85.48143,85.96714,84.150002,85.871429
AAPL,2012,3,20,85.644287,86.699997,84.497147,86.565712
AAPL,2012,3,21,86.105713,87.092857,85.915718,86.071426
AAPL,2012,3,22,85.397141,86.35714,85.075714,85.620003
AAPL,2012,3,23,85.784286,85.971428,84.914284,85.150002
AAPL,2012,3,26,85.684288,86.735718,85.03714,86.711426
AAPL,2012,3,27,86.597145,88.040001,86.580002,87.78286
AAPL,2012,3,28,88.339996,88.778572,87.187141,88.23143
AAPL,2012,3,29,87.540001,88.080002,86.747147,87.122856
AAPL,2012,3,30,86.96714,87.222855,85.419998,85.650002
AAPL,2012,4,2,85.975716,88.395714,85.76857,88.375717
AAPL,2012,4,3,89.614288,90.315712,88.93,89.902855
AAPL,2012,4,4,89.192856,89.408569,88.14286,89.187141
AAPL,2012,4,5,89.568573,90.665718,89.057144,90.525711
AAPL,2012,4,9,89.447144,91.405716,89.328575,90.889999
AAPL,2012,4,10,91.418571,92,89.428574,89.777145
AAPL,2012,4,11,90.885712,90.98143,89.048569,89.457146
AAPL,2012,4,12,89.285713,90.190002,88.64286,88.96714
AAPL,2012,4,13,89.158569,89.242859,86.215714,86.461426
AAPL,2012,4,16,87.151428,87.182854,82.60714,82.875717
AAPL,2012,4,17,82.705711,87.14286,81.701431,87.099998
AAPL,2012,4,18,87.674286,88.60714,86.101425,86.905716
AAPL,2012,4,19,85.745712,86.389999,83.502853,83.919998
AAPL,2012,4,20,84.482857,84.945717,81.488571,81.854286
AAPL,2012,4,23,81.515717,82.381432,79.517143,81.671425
AAPL,2012,4,24,80.372856,81.098572,79.285713,80.040001
AAPL,2012,4,25,87.94857,88.285713,86.571426,87.14286
AAPL,2012,4,26,87.752853,87.812859,86.01857,86.814285
AAPL,2012,4,27,86.438568,86.597145,85.785713,86.14286
AAPL,2012,4,30,85.400002,85.485718,83.285713,83.425713
AAPL,2012,5,1,83.557144,85.251427,83.03286,83.16143
AAPL,2012,5,2,82.891426,83.914284,82.694283,83.711426
AAPL,2012,5,3,84.35714,84.485718,82.900002,83.117142
AAPL,2012,5,4,82.440002,82.622856,80.738571,80.75
AAPL,2012,5,7,80.214287,81.824287,80.175713,NaN
AAPL,2012,5,8,81.368568,81.64286,79.818573,81.168571
AAPL,2012,5,9,80.528572,81.997147,80.121429,81.311432
AAPL,2012,5,10,82.082855,82.26857,81.205711,81.502853
AAPL,2012,5,11,80.714287,82.067146,80.621429,80.958572
AAPL,2012,5,14,80.367142,81.072861,79.657143,79.745712
AAPL,2012,5,15,80.207146,80.459999,78.821426,79.024284
AAPL,2012,5,16,79.150002,79.555717,77.291428,78.011429
AAPL,2012,5,17,77.901428,78.214287,75.73143,75.73143
AAPL,2012,5,18,76.279999,77.629997,74.597145,75.76857
AAPL,2012,5,21,76.35714,80.220001,76.292854,80.182854
AAPL,2012,5,22,81.364288,81.982857,78.940002,79.567146
AAPL,2012,5,23,79.64286,81.828575,79.03286,81.508568
AAPL,2012,5,24,82.267143,82.35714,80.175713,80.760002
AAPL,2012,5,25,80.655716,80.835716,79.781425,80.327141
AAPL,2012,5,29,81.557144,82,80.758568,81.752853
AAPL,2012,5,30,81.314285,82.855713,80.937141,82.738571
AAPL,2012,5,31,82.96286,83.071426,81.637146,82.53286
AAPL,2012,6,1,81.308571,81.807144,80.074287,80.141426
AAPL,2012,6,4,80.214287,81.071426,78.35714,80.612854
AAPL,2012,6,5,80.181427,80.924286,79.761429,80.404289
AAPL,2012,6,6,81.110001,81.978569,80.785713,81.637146
AAPL,2012,6,7,82.470001,82.474289,81.5,81.674286
AAPL,2012,6,8,81.657143,82.940002,81.285713,82.902855
AAPL,2012,6,11,83.959999,84.071426,81.51857,81.595711
