Stock ,Day,Month,Year,Open,High,Low,Close
DIS,3,January,2012,37.970001,38.459999,37.939999,38.310001
DIS,4,January,2012,38.189999,38.990002,38.119999,38.849998
DIS,5,January,2012,38.830002,39.580002,38.700001,39.5
DIS,6,January,2012,39.549999,40.150002,39.450001,39.91
DIS,9,January,2012,39.740002,40.25,39.59,39.75
DIS,10,January,2012,39.48,39.91,39.16,39.630001
DIS,11,January,2012,39.389999,39.529999,38.450001,38.700001
DIS,12,January,2012,38.619999,38.860001,38.41,38.73
DIS,13,January,2012,38.470001,38.59,38.02,38.400002
DIS,17,January,2012,38.689999,38.98,38.41,38.48
DIS,18,January,2012,NaN,NaN,NaN,NaN
DIS,19,January,2012,NaN,NaN,NaN,NaN
DIS,20,January,2012,39.419998,39.439999,39.099998,39.310001
DIS,23,January,2012,39.380001,39.5,38.959999,39.25
DIS,24,January,2012,39.029999,39.27,38.57,39.25
DIS,25,January,2012,39.119999,39.68,38.959999,39.560001
DIS,26,January,2012,39.59,39.75,39.060001,39.349998
DIS,27,January,2012,39.27,39.5,38.98,39.25
DIS,30,January,2012,38.740002,39.110001,38.380001,38.990002
DIS,31,January,2012,39.080002,39.310001,38.66,38.900002
DIS,1,February,2012,39.25,39.669998,39.16,39.330002
DIS,2,February,2012,39.220001,39.25,38.560001,38.91
DIS,3,February,2012,39.43,40,39.360001,40
DIS,6,February,2012,40,40.59,39.959999,40.459999
DIS,7,February,2012,40.73,41.150002,40.200001,40.98
DIS,8,February,2012,41.369999,41.91,40.990002,41.27
DIS,9,February,2012,40.75,41.639999,40.549999,41.529999
DIS,10,February,2012,40.939999,41.450001,40.830002,41.450001
DIS,13,February,2012,41.619999,41.919998,41.59,41.790001
DIS,14,February,2012,41.5,41.619999,41.259998,41.599998
DIS,15,February,2012,NaN,NaN,NaN,NaN
DIS,16,February,2012,41.23,41.73,41.080002,41.540001
DIS,17,February,2012,41.709999,41.860001,41.549999,41.75
DIS,21,February,2012,41.799999,41.900002,41.490002,41.57
DIS,22,February,2012,41.549999,41.709999,41.150002,41.27
DIS,23,February,2012,41.279999,41.669998,41.09,41.48
DIS,24,February,2012,41.439999,41.580002,41.23,41.310001
DIS,27,February,2012,41.700001,41.950001,41.299999,41.639999
DIS,28,February,2012,41.75,41.970001,41.549999,41.93
DIS,29,February,2012,41.869999,42.369999,41.849998,41.990002
DIS,1,March,2012,42.130001,42.540001,42.130001,42.389999
DIS,2,March,2012,42.259998,42.529999,42.040001,42.360001
DIS,5,March,2012,42.349998,42.77,42.110001,42.700001
DIS,6,March,2012,42.240002,42.32,41.73,42
DIS,7,March,2012,NaN,NaN,NaN,NaN
DIS,8,March,2012,41.990002,42.32,41.950001,42.02
DIS,9,March,2012,42.119999,42.57,42.029999,42.240002
DIS,12,March,2012,42.529999,42.849998,42.150002,42.34
DIS,13,March,2012,42.549999,44.080002,42.43,44.009998
DIS,14,March,2012,43.59,43.700001,42.900002,43.48
DIS,15,March,2012,43.5,43.5,43.169998,43.470001
DIS,16,March,2012,43.419998,43.52,43.18,43.189999
DIS,19,March,2012,43.07,43.580002,42.950001,43.439999
DIS,20,March,2012,43,43.310001,42.93,43.240002
DIS,21,March,2012,43.419998,43.869999,43.27,43.27
DIS,22,March,2012,43.080002,43.400002,43.009998,43.290001
DIS,23,March,2012,43.330002,43.709999,42.860001,43.650002
DIS,26,March,2012,43.939999,44.41,43.919998,44.380001
DIS,27,March,2012,44.389999,44.5,44.09,44.150002
DIS,28,March,2012,44.040001,44.150002,43.259998,43.509998
DIS,29,March,2012,NaN,NaN,NaN,NaN
DIS,30,March,2012,43.52,43.849998,43.099998,43.779999
DIS,2,April,2012,43.59,44,43.32,43.84
DIS,3,April,2012,43.669998,43.75,42.91,43.290001
